result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.3,3.3,3.2,3,2,5,7,15,101,30,146,59,1,1,8,9,23,118,32,139,63
H,2.1,3.4,3.4,5,1,4,14,16,122,40,120,43,2,2,6,12,17,142,53,104,38
H,1.83,3.5,4.33,7,0,3,18,11,109,37,154,54,3,3,4,10,13,118,34,137,48
H,1.95,3.6,3.6,3,3,4,10,16,138,45,118,39,2,2,6,6,11,122,43,132,53
H,2.0,3.4,3.8,2,3,5,5,15,110,24,134,43,2,4,4,14,21,122,46,183,60
H,1.36,4.75,8.5,6,2,2,17,11,136,54,111,36,2,3,5,12,18,102,41,150,59
H,2.2,3.4,3.2,5,3,2,17,11,157,58,103,36,4,3,3,17,13,145,54,121,38
H,3.6,3.8,1.95,7,1,2,23,11,129,53,117,48,8,2,0,30,8,178,69,88,28
H,1.75,3.5,4.5,6,0,4,18,16,141,47,131,40,3,2,5,13,15,122,38,115,47
H,1.57,3.75,7.0,7,2,1,13,4,132,42,82,19,5,3,2,17,9,126,45,113,27
H,1.73,3.75,5.0,4,2,4,16,14,138,48,107,40,3,3,4,11,12,120,38,102,41
H,3.5,3.3,2.1,6,0,4,15,9,139,47,121,46,6,1,3,18,10,129,49,87,32
H,1.4,4.0,10.0,5,5,0,16,8,114,37,101,30,3,2,5,12,19,131,51,141,57
H,5.25,3.6,1.67,3,2,5,11,14,100,32,98,42,9,1,0,24,7,156,60,107,32
H,1.95,3.4,4.2,3,4,3,11,12,110,37,103,31,2,2,6,10,20,119,41,156,54
H,1.83,3.3,4.33,3,2,5,15,20,117,48,177,61,2,2,6,7,13,91,30,121,45
H,2.3,3.25,3.1,6,2,2,11,9,111,38,126,40,3,3,4,14,18,120,46,133,57
H,1.44,4.33,7.0,6,3,1,14,8,154,56,120,37,1,5,4,9,13,93,27,132,48
H,1.73,3.6,4.75,2,2,6,8,16,124,49,151,61,0,3,7,4,17,94,31,162,65
H,2.3,3.25,3.1,5,2,3,16,10,125,47,115,45,5,2,3,17,15,115,49,107,40
H,1.44,4.33,7.0,7,0,3,17,9,157,57,124,45,2,2,6,12,20,111,47,137,56
H,1.36,5.0,9.0,6,1,3,17,10,122,47,115,40,3,2,5,7,13,104,36,132,43
H,2.2,3.2,3.4,4,3,3,13,13,139,47,116,40,3,4,3,9,8,106,35,129,47
H,1.57,3.75,7.0,7,1,2,16,7,118,47,111,34,1,6,3,13,15,109,42,165,58
H,1.33,5.5,8.5,6,2,2,16,7,192,66,89,28,6,0,4,13,13,123,48,132,37
H,1.17,7.0,15.0,6,2,2,26,13,132,53,96,39,2,1,7,14,25,136,44,144,62
