result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.72,4.0,4.5,5,3,2,15,12,183,64,116,37,4,3,3,16,12,141,63,139,51
H,1.22,6.0,15.0,7,0,3,18,8,140,47,75,24,3,1,6,8,12,131,38,210,57
H,1.22,6.0,12.0,7,2,1,19,6,163,70,119,30,4,3,3,10,8,122,42,123,41
H,2.4,3.2,3.1,3,4,3,10,8,111,36,140,43,6,1,3,13,11,135,42,138,43
H,1.62,4.0,5.25,6,2,2,15,7,152,60,109,43,5,2,3,13,11,119,35,127,40
H,1.29,5.5,10.0,6,3,1,25,12,180,78,96,35,4,3,3,13,13,143,49,125,46
H,1.91,3.3,4.2,5,1,4,15,12,188,57,143,56,4,4,2,11,7,129,42,131,43
H,2.62,3.0,2.87,2,1,7,10,19,121,37,123,48,6,1,3,17,9,103,40,128,40
H,2.5,3.1,2.9,2,5,3,7,8,147,30,102,26,5,2,3,17,14,149,53,149,46
H,1.67,3.8,5.0,2,2,6,5,14,132,40,110,36,3,5,2,11,9,121,41,140,51
H,1.44,4.33,8.0,5,4,1,22,14,122,74,102,52,1,4,5,7,17,85,46,98,54
H,3.8,3.3,2.0,2,5,3,13,13,144,50,171,53,6,4,0,19,7,170,62,129,36
H,1.65,3.4,6.0,4,2,4,14,16,137,40,135,39,1,3,6,6,15,113,34,103,37
H,1.67,3.8,5.25,1,1,8,8,20,128,40,144,52,3,3,4,7,15,120,34,133,42
H,2.3,3.1,3.3,4,1,5,10,12,133,44,159,41,2,4,4,8,9,132,38,123,41
H,2.14,3.25,3.6,2,3,5,9,13,91,28,170,54,1,5,4,13,20,120,40,167,62
H,1.5,3.8,7.25,6,3,1,21,11,177,55,129,34,2,2,6,5,13,119,29,149,48
H,2.0,3.0,4.33,1,5,4,5,10,119,34,130,46,3,2,5,10,11,116,34,180,65
H,1.67,3.5,5.5,5,1,4,13,14,149,51,145,51,2,3,5,8,17,94,27,138,52
H,2.37,3.5,2.9,5,3,2,17,10,144,74,115,46,5,2,3,15,12,132,54,109,50
H,1.75,3.4,5.0,5,3,2,17,9,116,52,151,38,3,2,5,9,16,112,40,150,49
H,2.55,3.5,2.7,2,3,5,5,8,97,31,166,53,4,1,5,18,19,105,40,133,48
H,3.39,3.29,2.2,3,0,7,7,21,69,16,200,73,2,3,5,10,19,80,31,129,45
H,1.5,3.6,7.5,5,4,1,17,7,122,65,106,51,3,4,3,13,11,91,40,81,42
H,1.9,3.25,4.0,5,2,3,17,11,133,67,97,38,5,3,2,19,8,117,63,85,30
H,2.3,3.0,3.4,4,3,3,16,12,113,44,148,54,1,3,6,11,21,144,54,160,68
H,1.29,5.25,11.0,7,3,0,16,6,164,58,99,30,0,6,4,8,14,124,31,111,41
H,7.5,3.8,1.53,1,2,7,12,24,96,31,156,56,4,3,3,16,12,149,49,79,28
H,3.0,3.0,2.5,4,5,1,16,7,107,32,151,47,3,2,5,13,15,151,55,95,42
H,2.15,3.0,3.8,4,4,2,15,11,97,37,171,52,1,5,4,10,15,127,38,123,49
H,6.0,3.6,1.62,2,2,6,13,20,105,38,165,60,9,0,1,19,4,157,51,103,24
H,1.8,3.4,4.75,3,2,5,13,13,156,51,87,38,3,3,4,15,18,183,63,129,47
H,1.85,3.4,4.33,4,4,2,10,10,129,42,129,37,3,4,3,12,12,149,45,107,39
H,1.25,5.25,13.0,8,2,0,22,5,137,61,136,40,2,5,3,8,9,118,33,144,41
H,2.4,2.9,3.3,2,3,5,10,15,113,41,120,47,2,3,5,10,16,108,41,104,57
H,2.0,3.25,3.9,2,2,6,12,19,118,38,159,52,3,2,5,6,9,107,33,114,32
H,1.8,3.2,5.0,2,3,5,7,15,119,37,123,48,3,3,4,13,13,131,42,82,30
H,2.05,3.25,3.75,3,2,5,9,17,118,41,153,45,1,3,6,7,17,83,24,117,43
H,1.83,3.4,4.33,4,4,2,19,10,139,57,113,34,5,1,4,17,15,159,47,109,34
H,1.8,3.6,4.33,5,1,4,16,12,113,69,92,49,3,2,5,15,18,77,45,118,63
H,2.1,3.25,3.75,2,3,5,5,15,110,28,99,43,4,2,4,16,15,125,48,159,44
H,2.29,3.25,3.25,3,5,2,11,14,126,42,99,35,4,1,5,11,21,123,34,123,45
H,1.29,5.0,12.0,9,0,1,24,7,139,49,91,24,3,2,5,8,13,156,54,120,46
H,1.14,8.0,23.0,8,1,1,19,6,159,58,73,27,1,4,5,11,23,117,37,166,67
H,2.15,3.5,3.3,5,1,4,16,13,179,56,104,48,6,3,1,19,11,145,59,130,48
H,2.05,3.3,3.8,2,1,7,6,19,106,33,139,46,3,5,2,17,19,173,46,132,36
H,1.29,5.5,10.0,7,3,0,28,9,138,60,150,44,1,2,7,4,15,97,32,143,46
H,1.29,5.0,12.0,6,3,1,13,7,155,48,119,43,4,3,3,11,12,147,38,180,60
H,2.0,3.5,3.8,7,1,2,24,11,193,70,125,48,5,2,3,14,13,171,52,99,34
H,1.25,5.0,13.0,9,1,0,22,5,130,55,137,32,3,5,2,11,10,109,41,194,57
H,2.0,3.3,3.8,2,3,5,7,12,148,41,132,45,6,3,1,16,8,115,38,134,43
H,1.85,3.6,4.2,3,1,6,7,21,117,30,137,51,2,2,6,8,22,82,27,118,45
H,2.7,3.1,2.7,6,2,2,11,6,151,42,138,40,3,4,3,11,9,192,50,134,44
H,1.75,3.2,5.25,4,5,1,14,10,127,45,109,34,3,1,6,11,18,123,38,128,52
H,1.83,3.6,4.33,5,2,3,19,16,156,55,131,40,3,4,3,19,15,134,48,169,48
H,3.5,4.0,1.95,4,1,5,17,18,130,50,168,58,3,4,3,16,13,170,59,126,49
H,2.8,3.25,2.5,2,4,4,12,16,114,35,141,48,3,3,4,17,18,162,57,136,53
H,1.85,3.6,4.33,3,3,4,14,14,125,48,125,52,3,1,6,10,17,118,39,142,49
H,2.2,3.0,3.6,7,0,3,19,8,131,45,98,26,6,3,1,13,7,160,53,117,43
H,2.29,3.2,3.25,1,3,6,8,15,75,26,144,52,4,1,5,15,16,104,40,135,49
H,1.14,7.5,17.0,8,2,0,28,8,173,58,100,31,2,3,5,8,14,89,27,111,39
H,2.6,3.3,2.75,3,4,3,14,16,127,42,184,50,3,4,3,16,18,136,47,141,46
H,2.63,3.3,2.63,3,5,2,20,18,144,48,124,52,2,5,3,14,15,169,48,103,38
H,1.57,3.8,6.0,9,1,0,21,3,155,57,74,16,3,3,4,12,14,136,41,131,42
H,1.6,4.2,5.0,4,1,5,23,21,166,61,148,58,2,5,3,10,10,119,39,135,32
H,1.3,5.0,10.0,5,4,1,25,12,151,57,121,46,3,3,4,13,14,141,45,120,40
