result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.6,3.0,2.9,3,3,4,9,14,119,44,152,51,4,3,3,12,11,100,39,102,38
H,1.91,3.5,4.2,4,3,3,10,7,108,32,148,57,4,2,4,15,21,124,50,132,53
H,1.44,4.2,8.5,4,1,5,15,15,148,56,102,33,3,2,5,8,9,104,47,107,39
H,1.85,3.5,4.5,2,3,5,9,20,97,33,138,48,2,2,6,4,11,95,28,131,44
H,2.75,3.2,2.6,2,5,3,8,10,136,44,87,27,3,5,2,14,12,127,42,115,36
H,1.95,3.0,4.33,2,2,6,7,14,89,41,92,49,4,2,4,8,10,77,37,105,39
H,1.57,3.75,6.0,6,2,2,15,10,163,54,121,43,3,5,2,8,7,119,33,113,48
H,2.38,3.3,2.9,7,1,2,16,7,167,68,123,32,8,0,2,23,8,165,61,77,27
H,2.38,3.5,2.9,3,3,4,10,17,136,48,127,40,3,4,3,14,17,110,40,110,48
H,2.2,3.0,3.75,3,4,3,9,8,129,40,109,29,4,2,4,13,14,142,39,133,49
H,2.05,3.1,4.0,3,3,4,17,10,143,61,97,32,5,1,4,17,12,110,43,108,37
H,2.2,3.0,3.6,4,2,4,11,11,118,38,127,45,5,2,3,10,8,100,35,112,38
H,4.75,3.3,1.8,4,4,2,10,7,108,36,131,41,4,3,3,13,10,170,60,112,43
H,2.37,2.87,2.87,0,3,7,4,18,108,33,126,51,2,3,5,6,11,87,43,93,40
H,1.7,3.5,5.25,5,4,1,14,7,154,46,91,36,3,4,3,11,11,127,45,127,46
H,2.05,3.2,3.75,2,5,3,12,13,117,42,142,51,2,4,4,10,14,104,34,130,54
H,2.55,3.1,2.88,3,2,5,14,13,126,43,113,45,6,0,4,17,13,104,41,115,38
H,2.5,3.1,2.9,3,2,5,13,15,130,42,117,37,4,4,2,18,14,158,57,104,44
H,2.1,3.5,3.5,3,1,6,13,16,144,49,112,36,2,1,7,9,19,135,43,121,52
H,2.38,3.1,3.1,4,2,4,15,15,112,43,111,37,2,2,6,11,17,118,34,122,36
H,6.5,4.2,1.53,2,4,4,15,22,115,38,107,44,8,1,1,18,4,129,47,85,21
H,2.2,3.1,3.6,2,3,5,7,11,102,33,92,35,4,2,4,11,15,88,32,112,44
H,1.8,3.6,4.75,2,2,6,11,17,110,33,123,39,1,1,8,5,17,103,27,130,50
H,1.3,4.75,12.0,7,2,1,16,6,128,46,91,30,5,2,3,14,12,115,40,135,49
H,1.62,3.6,6.0,4,4,2,19,12,167,60,82,29,4,1,5,14,14,118,48,119,43
H,2.8,3.1,2.6,1,4,5,9,12,145,40,126,42,2,5,3,13,14,113,39,124,44
H,3.75,3.1,2.1,1,3,6,7,16,103,36,120,52,7,2,1,17,6,177,68,102,25
H,2.25,2.9,3.6,2,3,5,7,10,145,42,110,36,4,2,4,13,8,128,48,141,41
H,1.8,3.2,5.0,1,7,2,6,6,144,46,102,25,2,5,3,11,13,92,29,151,53
H,2.7,3.25,2.7,3,3,4,16,14,102,40,128,39,2,3,5,12,13,127,45,125,43
H,2.4,3.0,3.3,3,5,2,8,8,108,38,133,42,3,5,2,7,9,113,40,135,43
