result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,1.6,4.0,6.5,2,3,5,17,21,116,43,140,43,4,1,5,7,17,75,21,140,45
H,5.0,3.6,1.73,3,2,5,14,19,116,64,129,74,8,1,1,23,5,167,104,105,58
H,1.22,6.0,15.0,4,6,0,18,13,134,73,109,57,2,5,3,9,11,137,72,90,38
H,1.36,4.5,10.0,7,1,2,21,7,170,90,84,48,3,3,4,16,19,118,61,98,54
H,3.0,3.1,2.7,4,2,4,11,13,83,31,176,51,2,3,5,7,11,127,35,108,31
H,2.7,3.2,2.7,5,3,2,15,9,120,70,106,64,5,2,3,16,11,120,68,123,64
H,1.44,4.0,7.5,4,3,3,14,10,99,55,94,57,2,2,6,8,16,99,51,118,60
H,1.25,6.25,15.0,8,0,2,23,7,139,55,104,31,4,4,2,18,14,106,38,141,45
H,3.6,3.5,2.15,3,1,6,7,19,100,27,134,49,3,3,4,10,13,100,32,152,51
H,1.3,6.0,11.0,7,2,1,17,11,159,48,86,36,4,3,3,14,15,136,45,132,44
H,1.4,5.0,9.0,7,3,0,19,5,132,53,86,25,5,2,3,14,10,142,47,89,38
H,1.3,5.0,9.0,8,1,1,25,9,174,90,97,52,4,2,4,12,19,93,54,102,49
H,1.2,6.5,15.0,9,0,1,26,14,135,78,107,62,2,3,5,12,14,129,70,118,72
H,2.3,3.4,3.4,4,4,2,17,12,148,50,76,28,7,2,1,22,6,172,56,87,26
H,1.8,3.5,4.5,1,5,4,9,14,119,39,172,54,1,3,6,7,16,84,28,190,63
H,3.2,3.25,2.45,3,3,4,14,17,108,32,146,49,4,3,3,15,13,106,36,142,42
H,1.25,5.5,11.0,7,2,1,22,10,177,93,95,47,0,5,5,8,16,84,43,137,76
H,1.44,4.33,7.5,7,0,3,25,13,153,86,101,56,4,4,2,14,9,123,79,117,61
H,1.22,5.5,13.0,9,0,1,20,3,151,90,62,34,3,2,5,10,12,71,43,109,63
H,3.0,3.3,2.38,2,3,5,12,18,90,49,137,68,6,2,2,19,12,98,57,128,60
H,3.0,3.3,2.38,2,2,6,8,13,121,66,152,85,4,1,5,23,16,132,81,98,48
H,1.29,6.0,12.0,7,1,2,24,8,185,75,84,25,2,3,5,14,21,149,44,129,49
H,2.2,3.4,3.6,3,4,3,11,9,146,56,107,24,4,3,3,13,12,133,51,115,32
H,2.25,3.3,3.25,2,3,5,14,24,125,71,158,99,2,4,4,18,22,142,82,137,81
H,1.25,6.5,14.0,10,0,0,23,2,138,52,91,27,4,3,3,13,12,118,42,136,42
H,3.6,3.3,2.25,4,3,3,14,13,131,58,134,55,4,3,3,9,9,139,42,87,33
H,3.25,3.2,2.2,5,3,2,15,11,131,66,84,51,9,1,0,27,6,143,79,61,32
H,1.18,8.0,19.0,6,2,2,24,15,165,59,118,35,3,1,6,6,14,118,31,114,35
H,1.67,3.75,5.5,7,2,1,17,8,149,84,108,51,3,5,2,14,12,156,91,111,54
H,1.2,6.5,15.0,6,2,2,21,11,143,89,86,50,2,5,3,10,13,100,59,135,72
H,2.25,3.4,3.25,2,5,3,9,10,90,46,154,77,5,2,3,15,10,108,65,136,81
H,1.33,5.5,11.0,6,2,2,17,10,149,88,93,48,4,1,5,15,15,124,74,104,58
H,2.4,3.25,3.0,4,3,3,13,13,88,40,134,77,3,3,4,8,16,116,68,120,66
H,1.2,8.0,15.0,7,2,1,29,8,193,76,90,25,2,3,5,9,15,112,31,147,47
H,1.17,7.0,17.0,7,1,2,23,7,161,100,106,59,4,2,4,15,15,125,77,126,74
H,1.4,5.0,9.0,3,1,6,14,18,148,43,119,48,2,3,5,12,19,127,40,141,45
H,2.2,3.5,3.5,2,3,5,8,17,104,50,157,92,2,2,6,10,18,113,62,151,90
H,1.67,3.8,6.0,4,2,4,13,14,120,34,154,48,2,2,6,6,20,96,27,135,52
H,1.12,10.0,27.0,8,1,1,28,7,166,62,50,21,3,4,3,12,12,121,41,131,44
H,1.44,4.75,8.0,3,4,3,15,15,157,53,101,34,2,3,5,9,15,103,29,140,49
H,1.67,4.0,5.75,3,1,6,13,21,157,36,116,51,1,3,6,11,17,96,33,184,61
H,2.1,3.1,3.6,7,1,2,17,7,130,67,55,31,9,1,0,19,5,157,79,106,42
H,5.0,3.75,1.8,6,2,2,13,11,142,45,126,43,7,2,1,17,5,178,62,91,17
H,1.22,6.5,13.0,8,1,1,23,14,144,83,113,73,3,1,6,11,14,147,74,127,70
H,2.4,3.3,3.25,3,1,6,9,17,103,34,158,51,2,3,5,8,18,116,47,142,62
H,1.62,4.0,6.5,4,3,3,12,13,132,41,130,43,3,2,5,10,17,94,28,199,64
H,1.16,6.5,23.0,7,3,0,20,6,133,80,96,48,3,2,5,11,16,92,52,122,59
H,1.29,5.5,10.0,7,0,3,18,12,136,81,110,70,4,1,5,11,16,114,68,135,73
H,1.83,3.25,4.5,6,1,3,15,10,108,44,83,34,3,5,2,13,9,108,54,109,58
H,1.85,3.39,5.25,2,4,4,7,10,149,36,132,39,2,4,4,9,14,94,28,141,35
H,2.25,3.3,3.6,2,1,7,6,12,96,40,133,71,2,5,3,8,13,95,60,130,70
H,2.62,3.25,2.7,3,3,4,13,15,88,45,77,46,5,2,3,10,10,109,52,122,61
H,1.36,4.75,9.0,6,1,3,22,12,146,80,105,55,3,2,5,10,15,118,62,120,65
H,1.83,3.75,4.2,4,1,5,13,18,133,73,155,94,2,5,3,8,12,87,37,141,89
H,1.4,4.33,9.0,7,3,0,15,6,159,83,56,30,3,3,4,11,8,132,63,98,46
H,2.1,3.4,3.5,2,4,4,12,18,92,44,130,68,4,5,1,20,17,122,77,126,70
H,2.75,3.4,2.75,2,5,3,11,12,98,34,107,46,5,2,3,15,13,129,59,133,51
H,2.45,3.3,3.2,3,1,6,13,17,138,39,161,54,2,3,5,8,13,107,30,139,51
H,3.6,3.5,2.15,1,2,7,8,21,111,33,153,52,6,1,3,16,14,133,61,159,44
H,6.5,4.2,1.57,2,2,6,2,7,103,30,172,49,5,4,1,22,13,179,63,122,41
H,1.9,3.3,4.0,4,1,5,12,11,104,48,104,52,5,3,2,13,8,113,59,135,64
H,1.91,3.5,4.6,1,5,4,10,18,73,40,125,76,4,2,4,13,18,65,35,159,92
H,1.22,6.0,15.0,6,2,2,22,11,183,96,78,43,3,3,4,10,10,124,65,122,65
H,1.17,7.0,17.0,7,1,2,15,4,163,99,95,54,3,2,5,15,22,125,74,169,84
H,1.8,3.5,4.75,3,4,3,12,11,126,77,128,70,5,1,4,14,13,139,83,124,68
H,1.5,4.5,7.5,4,3,3,14,11,127,77,112,66,3,3,4,8,11,95,51,136,75
H,1.8,3.2,4.75,5,2,3,17,15,122,62,96,48,2,4,4,10,15,97,51,123,59
H,1.2,7.5,19.0,5,1,4,10,12,125,44,88,29,0,1,9,4,17,117,31,112,47
H,1.08,11.0,21.0,10,0,0,34,7,181,77,52,13,1,4,5,8,20,89,33,120,47
H,1.5,4.5,7.5,3,4,3,13,13,117,40,143,49,1,3,6,11,19,93,28,170,60
H,1.44,5.0,7.5,4,2,4,16,17,172,58,99,41,3,2,5,9,12,135,34,107,34
H,1.83,3.5,4.5,3,5,2,18,17,99,55,96,56,2,3,5,7,18,109,65,128,79
H,1.29,5.5,11.0,4,3,3,21,11,161,89,85,45,2,4,4,10,14,108,55,118,67
H,1.9,3.7,4.33,3,3,4,12,14,101,43,141,46,2,2,6,10,19,117,43,141,50
H,2.0,3.8,3.8,2,3,5,10,14,119,44,154,47,4,1,5,13,20,115,32,130,41
H,1.9,3.39,4.75,2,3,5,6,12,119,27,127,40,2,2,6,10,23,116,33,140,56
H,1.44,4.75,8.0,3,6,1,16,11,131,45,112,38,3,2,5,10,14,122,45,148,49
H,1.8,3.79,4.75,4,2,4,18,13,109,44,139,46,3,2,5,10,14,100,32,138,41
H,2.1,3.5,3.4,6,2,2,23,8,179,107,81,44,8,1,1,25,7,168,107,110,61
H,2.4,3.4,2.9,1,3,6,9,17,127,75,135,73,2,3,5,5,14,138,63,107,55
H,1.22,6.5,13.0,4,5,1,11,9,149,51,88,28,4,0,6,9,15,103,28,184,57
H,5.0,3.6,1.73,4,5,1,16,10,129,68,106,60,6,4,0,23,10,205,103,75,40
H,1.25,5.5,13.0,4,3,3,19,10,151,91,83,49,3,3,4,11,14,123,80,141,75
H,1.36,5.25,10.0,8,2,0,19,6,153,58,111,26,1,4,5,13,19,129,41,118,46
H,1.55,4.0,5.75,4,3,3,24,17,158,61,105,36,4,2,4,12,17,105,34,117,40
H,1.3,5.5,10.0,7,1,2,18,7,139,50,94,28,2,0,8,8,17,113,36,107,45
H,2.1,3.5,3.75,4,2,4,14,18,120,28,117,43,2,3,5,11,19,107,34,128,48
H,2.2,3.2,3.2,2,5,3,9,10,91,47,139,74,4,2,4,13,18,80,42,137,75
H,1.72,3.6,5.0,4,3,3,13,10,117,63,118,61,1,3,6,9,20,80,40,129,77
H,1.5,4.0,7.5,6,3,1,18,10,131,60,94,53,3,4,3,19,17,128,67,100,52
H,1.17,7.0,17.0,8,2,0,31,9,165,92,109,64,4,2,4,16,16,123,67,144,81
H,1.72,3.5,4.75,5,0,5,15,18,110,56,136,82,4,2,4,12,14,126,66,112,56
H,3.8,3.5,2.1,1,4,5,4,10,142,40,149,40,7,2,1,21,11,129,41,121,43
H,1.8,3.6,4.5,5,1,4,11,14,113,77,135,75,3,2,5,13,21,138,75,136,89
H,2.9,3.25,2.7,4,0,6,13,14,108,43,175,50,2,3,5,10,17,111,40,142,41
H,2.2,3.3,3.75,2,3,5,7,15,132,38,137,37,4,3,3,14,12,136,46,180,72
H,3.5,3.4,2.1,3,4,3,12,11,114,70,109,54,6,2,2,17,9,155,90,75,46
H,3.29,3.6,2.25,4,4,2,13,11,108,41,124,39,5,0,5,21,15,131,62,119,47
H,1.91,3.7,4.33,4,1,5,17,16,117,44,113,44,2,3,5,7,14,145,42,159,49
H,2.05,3.5,4.0,4,1,5,14,13,106,39,125,38,3,2,5,11,17,107,37,157,53
H,2.38,3.4,3.2,7,2,1,18,7,177,65,109,40,6,1,3,24,12,163,77,94,39
H,2.38,3.25,3.4,1,3,6,7,15,102,29,120,39,4,1,5,15,14,101,41,127,42
H,1.33,5.5,11.0,6,3,1,15,9,151,54,114,42,4,4,2,13,8,147,51,181,65
H,4.33,3.3,1.83,6,1,3,11,10,99,51,104,57,6,2,2,16,8,114,73,68,35
H,4.5,3.8,1.85,2,2,6,8,15,123,30,125,48,8,0,2,20,11,157,62,125,48
H,2.0,3.6,4.0,1,4,5,9,20,103,29,163,61,2,3,5,14,17,100,36,175,63
H,1.75,3.5,5.0,7,2,1,17,8,123,69,82,32,5,2,3,24,15,123,70,91,46
H,2.2,3.5,3.5,6,2,2,19,13,160,57,104,33,6,1,3,30,14,202,73,122,42
H,2.38,3.25,3.4,5,3,2,16,7,112,54,104,34,3,4,3,11,13,126,33,127,47
H,1.33,5.0,10.0,7,1,2,25,9,166,102,102,55,5,3,2,13,11,75,32,134,77
H,4.0,3.6,1.91,2,1,7,15,21,115,65,156,93,6,3,1,13,7,122,65,143,78
H,1.44,4.33,8.0,4,3,3,11,19,167,51,116,51,3,4,3,14,19,106,31,162,53
H,1.36,4.75,9.0,8,1,1,24,6,155,91,116,53,6,2,2,23,8,114,69,122,60
H,1.57,4.0,6.0,6,2,2,16,8,131,75,122,59,0,3,7,8,23,104,57,152,94
H,9.0,5.0,1.4,1,1,8,7,22,114,23,149,47,6,1,3,28,11,166,67,90,30
H,1.08,10.0,26.0,9,1,0,24,5,201,73,60,22,1,3,6,5,16,92,18,140,37
H,4.33,3.6,1.83,0,6,4,12,18,98,49,165,84,4,5,1,20,14,180,102,108,57
H,1.22,7.0,15.0,7,2,1,27,12,169,66,83,34,3,5,2,11,11,110,41,154,52
H,4.5,3.8,1.75,4,1,5,12,14,141,79,119,66,4,6,0,18,12,150,83,83,44
H,2.38,3.3,3.0,1,1,8,5,15,142,76,109,63,4,1,5,12,17,134,66,139,78
