result,odds-home,odds-draw,odds-away,home-wins,home-draw,home-losses,home-goals,home-opposition-goals,home-shots,home-shots-on-target,home-opposition-shots,home-opposition-shots-on-target,away-wins,away-draw,away-losses,away-goals,away-opposition-goals,away-shots,away-shots-on-target,away-opposition-shots,away-opposition-shots-on-target
H,2.4,3.3,2.88,7,3,0,19,6,144,67,114,31,3,5,2,16,11,121,53,120,45
H,1.95,3.5,4.0,3,2,5,7,14,76,27,130,47,1,3,6,2,24,122,36,137,52
H,2.25,3.2,3.2,6,2,2,11,10,132,44,130,40,5,1,4,14,13,136,47,159,49
H,1.44,4.5,7.5,5,1,4,17,12,140,54,118,50,3,2,5,16,20,136,45,128,52
H,2.37,3.25,3.0,5,3,2,17,12,141,56,105,39,6,1,3,18,12,120,41,108,32
H,2.88,3.4,2.38,3,3,4,9,16,135,50,114,50,5,3,2,16,10,124,55,127,40
H,1.62,3.75,5.5,6,2,2,21,14,146,63,121,42,5,4,1,16,10,116,42,127,42
H,2.15,3.3,3.4,1,5,4,8,16,154,49,140,46,3,4,3,12,11,104,32,153,55
H,1.44,4.0,8.0,6,1,3,18,14,151,63,113,34,0,1,9,8,27,118,38,130,61
H,1.22,6.5,11.0,4,2,4,19,16,161,61,102,41,4,4,2,15,12,127,46,164,50
H,3.3,3.5,2.1,2,2,6,10,18,148,56,124,51,3,2,5,13,15,128,47,138,45
H,2.05,3.5,3.4,3,3,4,19,15,171,59,136,39,5,2,3,22,14,143,51,132,41
H,2.63,3.5,2.5,1,4,5,12,26,108,38,167,59,2,1,7,12,22,138,56,147,60
H,1.29,6.0,10.0,6,3,1,18,7,174,51,75,26,5,1,4,17,16,124,49,95,43
H,3.1,3.8,2.1,7,3,0,30,10,134,54,105,39,6,2,2,18,11,181,61,74,22
H,1.4,4.2,8.5,4,3,3,25,20,177,68,147,50,6,0,4,11,11,133,44,119,36
H,1.57,3.6,6.0,3,2,5,16,18,141,71,149,82,3,3,4,13,14,143,70,129,75
H,1.85,3.6,4.33,2,4,4,9,16,127,42,119,56,1,0,9,4,20,105,34,157,68
H,2.25,3.4,3.1,6,2,2,22,10,109,45,144,47,6,2,2,13,16,106,38,108,35
H,1.08,11.0,29.0,9,1,0,28,1,194,77,65,27,2,5,3,9,12,106,43,148,54
H,1.4,4.75,7.0,4,4,2,20,12,185,68,104,36,1,4,5,13,22,134,49,111,58
H,1.95,3.5,3.75,8,0,2,30,10,152,75,128,44,8,1,1,21,7,185,54,130,42
H,1.75,3.8,4.75,3,3,4,15,18,129,46,133,48,2,2,6,7,17,97,37,149,55
H,1.3,5.25,9.5,8,2,0,26,10,165,62,77,34,6,4,0,17,6,107,38,117,39
H,1.36,4.75,8.5,6,0,4,25,17,150,66,157,56,2,5,3,10,14,127,46,136,42
H,2.0,3.4,3.75,4,2,4,16,15,131,50,157,44,2,1,7,8,20,121,33,132,57
H,1.53,4.0,7.0,3,1,6,7,13,127,33,130,41,2,4,4,11,23,101,32,139,50
H,2.1,3.25,3.4,3,4,3,15,14,111,68,153,86,6,1,3,13,10,147,76,137,77
H,1.08,13.0,21.0,8,1,1,20,5,206,81,69,22,1,5,4,8,12,106,29,144,50
H,1.57,4.33,5.0,5,2,3,15,8,171,56,84,29,1,4,5,6,14,115,37,153,62
H,2.3,3.2,3.1,3,3,4,9,12,100,36,147,51,4,2,4,12,13,145,44,109,38
H,1.44,4.2,7.5,7,3,0,21,5,132,47,116,32,1,3,6,13,21,117,37,129,46
H,1.14,9.0,17.0,7,2,1,26,7,187,69,85,31,3,3,4,13,15,134,40,148,47
